"MARCA","MODELO","DATA","QUILOMETRAGEM","COMBUSTIVEL","PRECO"
"Honda","City 1.5","2013-08-02","53233","29.100","3.099"
"Honda","City 1.5","2013-08-04","53511","29.780","2.989"
"Ford","ECOSPORT XLT 2.0 Aut","2013-08-12","61399","41.010","2.799"
"Honda","City 1.5","2013-08-13","53838","35.360","3.099"
"Honda","City 1.5","2013-08-22","54123","35.500","3.099"
"Ford","ECOSPORT XLT 2.0 Aut","2013-08-23","61656","40.030","2.799"
"Honda","City 1.5","2013-09-03","54351","34.850","3.099"
"Ford","ECOSPORT XLT 2.0 Aut","2013-09-09","61931","41.660","2.999"
"Honda","City 1.5","2013-09-15","54630","38.080","3.099"
"Ford","ECOSPORT XLT 2.0 Aut","2013-09-25","62203","40.570","2.799"
"Honda","City 1.5","2013-09-30","54911","36.840","2.959"
"Ford","ECOSPORT XLT 2.0 Aut","2013-10-09","62466","41.850","2.899"
"Honda","City 1.5","2013-10-17","55185","38.720","3.099"
